 id x y
764 764 131.8969938 43.1008802
765 765 131.8978561 43.1016297
766 766 131.8998931 43.1003434
767 767 131.9145017 43.0957354
768 768 131.9415958 43.1004704
769 769 131.9412374 43.1001063
770 770 131.9404562 43.0993579
771 771 131.9404357 43.099338
772 772 131.9391305 43.0965388
773 773 131.9395041 43.0964101
774 774 131.940283 43.0991984
775 775 131.9396788 43.0985159
776 776 131.9393799 43.0980984
777 777 131.93928 43.0979319
778 778 131.9390958 43.0974309
779 779 131.9391472 43.0967473
780 780 131.9428924 43.1002676
781 781 131.9436413 43.0999662
782 782 131.9459844 43.099867
783 783 131.9462586 43.0999151
784 784 131.9472874 43.0996748
785 785 131.9465049 43.0996192
786 786 131.9473315 43.0992367
787 787 131.9474173 43.0987091
788 788 131.9474692 43.0983904
789 789 131.9487322 43.0967142
790 790 131.9500095 43.095997
791 791 131.9502185 43.0956391
792 792 131.950308 43.0934236
793 793 131.9495606 43.0909592
794 794 131.949574 43.0908728
795 795 131.9494923 43.0899334
796 796 131.9546927 43.0950535
797 797 131.9544277 43.093745
798 798 131.9541742 43.093144
799 799 131.9521777 43.0914168
800 800 131.9377272 43.1037909
801 801 131.9382407 43.10532
802 802 131.9392367 43.1074681
803 803 131.9357329 43.1104602
804 804 131.9399439 43.1275622
805 805 131.941819 43.1306233
806 806 131.9484557 43.1396549
807 807 131.9532216 43.1374427
808 808 131.942591 43.1367557
809 809 131.9430575 43.1370329
810 810 131.9448953 43.1381458
811 811 131.9542259 43.1374061
812 812 131.9563466 43.1371907
813 813 131.9568856 43.1370787
814 814 131.9576923 43.1369067
815 815 131.9589613 43.136833
816 816 131.959172 43.1368396
817 817 131.960553 43.1368428
818 818 131.9615656 43.1368373
819 819 131.9655254 43.1368148
820 820 131.966585 43.1367902
821 821 131.9668302 43.1367365
822 822 131.9677444 43.136439
823 823 131.9683275 43.1363249
824 824 131.9705164 43.1362796
825 825 131.9732631 43.136306
826 826 131.9746201 43.13634
827 827 131.9758273 43.1363701
828 828 131.9787484 43.1373083
829 829 131.9358344 43.1341001
830 830 131.934408 43.133553
831 831 131.9357366 43.1338515
832 832 131.903194 43.1331752
833 833 131.9045606 43.1332201
834 834 131.9077224 43.1333185
835 835 131.900057 43.1366286
836 836 131.8854755 43.1249265
837 837 131.8857674 43.1258405
838 838 131.8858599 43.1261301
839 839 131.884867 43.1263337
840 840 131.8843431 43.1251803
841 841 131.9377242 43.1284478
842 842 131.939549 43.1280601
843 843 131.9392644 43.1276814
844 844 131.9390541 43.1274015
845 845 131.9389052 43.1271833
846 846 131.9386461 43.1266393
847 847 131.9389856 43.1257966
848 848 131.9391877 43.1253188
849 849 131.9390808 43.1248151
850 850 131.9385239 43.1238879
851 851 131.9382108 43.1233507
852 852 131.9377665 43.1225951
853 853 131.9374534 43.1220435
854 854 131.937126 43.1210742
855 855 131.9371891 43.1196601
856 856 131.937883 43.1259431
857 857 131.9376773 43.1252535
858 858 131.9327523 43.1198153
859 859 131.933609 43.1205106
860 860 131.9340141 43.1211676
861 861 131.9339046 43.1233213
862 862 131.9338889 43.1235821
863 863 131.9349623 43.1253454
864 864 131.9300185 43.1215021
865 865 131.9313552 43.1211879
866 866 131.9318797 43.1209014
867 867 131.9325843 43.1204609
868 868 131.9328643 43.1202625
869 869 131.9330802 43.1199639
870 870 131.9264988 43.1122919
871 871 131.9285969 43.1124511
872 872 131.9371154 43.1022094
873 873 131.9055076 43.100308
874 874 131.9099522 43.0990644
875 875 131.9125183 43.0984244
876 876 131.9066509 43.0995009
877 877 131.9020629 43.0963641
878 878 131.9026306 43.0962834
879 879 131.903445 43.0962175
880 880 131.9040081 43.0961853
881 881 131.9044501 43.096155
882 882 131.9052483 43.0960055
883 883 131.9066736 43.0958066
